date,time_of_day,id,sender_name,text_length,num_keywords,is_relevant_to_subject,is_question,is_informative,is_encourage,is_ack,is_left_group,is_media_omitted,msg_text
05/03/2019,10:11,25,STUDENT_1,10,0,False,False,False,False,False,True,False,LEFT_GROUP
05/03/2019,10:12,28,STUDENT_2,10,0,False,False,False,False,False,True,False,LEFT_GROUP
05/03/2019,10:18,29,STUDENT_3,10,0,False,False,False,False,False,True,False,LEFT_GROUP
05/03/2019,11:23,31,STUDENT_4,3,0,False,False,False,False,False,False,False, 👍🏼
05/03/2019,12:22,33,STUDENT_5,34,0,False,True,False,False,False,False,False, יש אפשרות להרשם גם לקבוצה של 806?
05/03/2019,13:35,34,STUDENT_6,20,1,True,False,True,False,False,False,False, אפשר להירשם רק ל806
05/03/2019,13:35,35,STUDENT_6,13,0,False,False,False,False,False,False,False, אני בכיתה יא
05/03/2019,14:02,36,STUDENT_7,45,7,True,True,False,False,False,False,False, אם יש נקודה על ציר z אז גם x וגם y שווים ל0?
05/03/2019,14:02,37,STUDENT_8,13,0,False,False,False,False,False,False,False, כן נסיכה שלי
05/03/2019,14:02,38,STUDENT_9,3,0,False,False,False,False,False,False,False, כן
05/03/2019,14:02,39,STUDENT_10,10,0,False,False,False,False,False,True,False,LEFT_GROUP
05/03/2019,14:03,40,STUDENT_7,10,0,False,False,False,False,True,False,False, סבבה תודה
05/03/2019,21:54,41,STUDENT_11,13,0,False,False,False,False,False,False,True,MEDIA_OMITTED
05/03/2019,21:55,42,STUDENT_12,53,6,True,False,True,False,False,False,False, הנקודות פיתול של הפונקציה זה הנקודות קיצון של הנגזרת
05/03/2019,21:57,43,STUDENT_11,14,0,False,False,False,False,True,False,False, אה תודה רבה !
05/03/2019,22:15,44,STUDENT_13,75,1,True,False,True,False,False,False,False, אני יודעת איך להתחיל לגזור אבל פה זה נגמר אני לא הבנתי מה אני עושה אחרי זה
05/03/2019,22:16,45,STUDENT_11,74,0,False,True,False,False,False,False,False, הצלחתי בדרך של מיקה את התרגיל את מנסה להבין אותו לעצמך או כדי לעזור לי? 😅
05/03/2019,22:17,46,STUDENT_13,119,1,True,False,True,False,False,False,False, אני מנסה לעצמי כי המורה שלי ניסה ללמד אותי לגזור אבל חוץ מי איך להתחיל לא הבנתי כלום ומתברר שגם הכיתה שלי כיכולם נכשלו
05/03/2019,22:19,47,STUDENT_13,22,0,False,False,False,False,False,False,False, אז אני אשמח פה עזרה 😅
05/03/2019,22:23,48,STUDENT_11,13,0,False,False,False,False,False,False,True,MEDIA_OMITTED
